"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV1088","Bacteria","WPS-2","WPS-2 Phylum","WPS-2 Phylum","WPS-2 Phylum",NA,NA,NA
"ASV2320","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae",NA,NA,NA
"ASV463","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae",NA,NA,NA
"ASV1530","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacterales Order",NA,NA,NA
"ASV7660","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae",NA,NA,NA
"ASV1286","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Bernardetiaceae",NA,NA,NA
"ASV567","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagales Order",NA,NA,NA
"ASV51","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae",NA,NA,NA
"ASV271","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagales Order",NA,NA,NA
"ASV42","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA,NA
"ASV172","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Flammeovirgaceae",NA,NA,NA
"ASV2499","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Blattabacteriaceae",NA,NA,NA
"ASV1518","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae",NA,NA,NA
"ASV559","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,NA,NA
"ASV819","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriales Order",NA,NA,NA
"ASV1609","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae",NA,NA,NA
"ASV527","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae",NA,NA,NA
"ASV700","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae",NA,NA,NA
"ASV1934","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae",NA,NA,NA
"ASV4780","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5",NA,NA,NA
"ASV436","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA,NA,NA
"ASV729","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriales Order",NA,NA,NA
"ASV2215","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA,NA,NA
"ASV58","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA,NA,NA
"ASV546","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS7 marine group",NA,NA,NA
"ASV403","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,NA
"ASV2591","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae",NA,NA,NA
"ASV138","Bacteria","Bacteroidota","Bacteroidia","Bacteroidia Class","Bacteroidia Class",NA,NA,NA
"ASV64","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"ASV103","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"ASV1032","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae",NA,NA,NA
"ASV674","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA,NA,NA
"ASV949","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae",NA,NA,NA
"ASV2659","Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales Order",NA,NA,NA
"ASV2083","Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae",NA,NA,NA
"ASV1073","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",NA,NA,NA
